# Mach-Number upstream,Mach-Number downstream,temperature upstream,temperature downstream,f,Mic1 US,Mic2 US,Mic3 US,Mic1 Liner,Mic2 Liner,Mic3 Liner,Mic4 Liner,Mic5 Liner,Mic6 Liner,Mic7 Liner,Mic8 Liner,Mic9 Liner,Mic10 Liner,Mic1 DS,Mic2 DS,Mic3 DS,case
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (1.000000000000000000e+03+0.000000000000000000e+00j), (-1.151633739471435547e+00+1.553106959909200668e-02j), (1.052571535110473633e+00+6.944938302040100098e-01j), (6.269419193267822266e-01-5.411025509238243103e-02j), (-4.939775466918945312e-01-5.822244286537170410e-01j), (-6.270631551742553711e-01+5.498226284980773926e-01j), (-7.140997052192687988e-01+1.163683056831359863e+00j), (-3.765354454517364502e-01+8.600981831550598145e-01j), (3.662795722484588623e-01+6.613949779421091080e-03j), (1.131049513816833496e+00-4.735464751720428467e-01j), (1.155634641647338867e+00-4.096961021423339844e-01j), (2.075887173414230347e-01-1.718845069408416748e-01j), (-9.733539819717407227e-01-1.971302181482315063e-01j), (-1.333217859268188477e+00-4.589637219905853271e-01j), (3.154003620147705078e-01+8.795989155769348145e-01j), (-6.223080307245254517e-02-5.757402181625366211e-01j), (-8.192904591560363770e-01+8.503113389015197754e-01j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (4.800000000000000000e+02+0.000000000000000000e+00j), (1.376447677612304688e+00+1.429036378860473633e+00j), (6.149665713310241699e-01-1.969550728797912598e+00j), (4.203742146492004395e-01-2.400935649871826172e+00j), (-5.317793488502502441e-01-1.047647714614868164e+00j), (-8.628560900688171387e-01-4.379197955131530762e-01j), (-8.176818490028381348e-01+9.238930046558380127e-02j), (-5.341859459877014160e-01+4.060029089450836182e-01j), (-1.772545725107192993e-01+5.137512683868408203e-01j), (1.477635204792022705e-01+4.419779181480407715e-01j), (3.253377974033355713e-01+3.252821564674377441e-01j), (3.234591782093048096e-01+1.276409029960632324e-01j), (1.627469509840011597e-01-9.860488772392272949e-02j), (3.983362764120101929e-02-3.615814745426177979e-01j), (-1.705371290445327759e-01-1.982917934656143188e-01j), (-2.279461622238159180e-01+8.752056397497653961e-03j), (-2.447361052036285400e-01+3.691025674343109131e-01j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (4.800000000000000000e+02+0.000000000000000000e+00j), (-7.623231038451194763e-03+3.175471723079681396e-02j), (-9.197335690259933472e-03-1.757953874766826630e-02j), (6.164131220430135727e-03-3.091872297227382660e-02j), (2.369401231408119202e-02+7.617027498781681061e-03j), (1.436721254140138626e-02+3.520147129893302917e-02j), (-3.810475394129753113e-02+5.068938061594963074e-02j), (-1.163549125194549561e-01+2.096203388646245003e-03j), (-1.202862411737442017e-01-1.873665601015090942e-01j), (1.192416399717330933e-01-3.532539010047912598e-01j), (5.763682723045349121e-01-1.007919982075691223e-01j), (6.883949637413024902e-01+7.189486622810363770e-01j), (-3.816893994808197021e-01+1.735177636146545410e+00j), (-2.858993291854858398e+00+1.231346368789672852e+00j), (4.633276462554931641e-01-4.688665866851806641e+00j), (2.551758050918579102e+00-2.852807521820068359e+00j), (-4.306720793247222900e-01+4.997469902038574219e+00j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (4.800000000000000000e+02+0.000000000000000000e+00j), (1.440781820565462112e-02-1.950297132134437561e-02j), (-1.098771579563617706e-02+2.254979684948921204e-02j), (-6.361968349665403366e-03+1.996332965791225433e-02j), (-1.803756132721900940e-02-1.033324748277664185e-02j), (3.085465868934988976e-03-2.729987539350986481e-02j), (4.148248210549354553e-02-1.403724681586027145e-02j), (6.909964233636856079e-02+5.498925596475601196e-02j), (-1.340058632194995880e-02+1.531306058168411255e-01j), (-2.219901680946350098e-01+1.538244485855102539e-01j), (-3.829753696918487549e-01-2.036609053611755371e-01j), (-9.059952199459075928e-02-7.484329938888549805e-01j), (1.011792182922363281e+00-8.704494833946228027e-01j), (2.285882711410522461e+00+5.553367137908935547e-01j), (-2.429186344146728516e+00+2.612028837203979492e+00j), (-2.854766845703125000e+00+5.609181523323059082e-01j), (2.558831214904785156e+00-2.799133539199829102e+00j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (4.900000000000000000e+02+0.000000000000000000e+00j), (1.038112998008728027e+00+2.008730649948120117e+00j), (1.070530891418457031e+00-1.794494986534118652e+00j), (1.046510100364685059e+00-2.418302774429321289e+00j), (-2.024984657764434814e-01-1.283995747566223145e+00j), (-7.224282622337341309e-01-6.846543550491333008e-01j), (-8.099222183227539062e-01-1.384529173374176025e-01j), (-6.290723681449890137e-01+2.426300346851348877e-01j), (-2.847348451614379883e-01+4.397700130939483643e-01j), (3.477350401226431131e-04+4.160931110382080078e-01j), (2.045137584209442139e-01+3.524923324584960938e-01j), (2.650402486324310303e-01+1.776907444000244141e-01j), (1.985793411731719971e-01-4.344613105058670044e-02j), (1.145665794610977173e-01-2.712909877300262451e-01j), (-1.778802424669265747e-01-1.909900605678558350e-01j), (-2.405097335577011108e-01-5.150539800524711609e-02j), (-1.980720758438110352e-01+2.584282755851745605e-01j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (4.900000000000000000e+02+0.000000000000000000e+00j), (-1.103992201387882233e-02+9.455590508878231049e-03j), (-1.515651214867830276e-02-5.052252090536057949e-04j), (2.063788473606109619e-02+1.675221952609717846e-03j), (4.094302281737327576e-02+8.520378731191158295e-03j), (1.975554600358009338e-02+2.820753119885921478e-02j), (-1.079781912267208099e-02+4.663931950926780701e-02j), (-9.386653453111648560e-02+1.746949926018714905e-02j), (-9.916265308856964111e-02-1.016261130571365356e-01j), (-1.062849815934896469e-02-3.515211045742034912e-01j), (4.691863954067230225e-01-2.751510143280029297e-01j), (8.827334046363830566e-01+4.195882678031921387e-01j), (3.525809347629547119e-01+1.823232293128967285e+00j), (-2.311776161193847656e+00+2.557585716247558594e+00j), (-1.717259168624877930e+00-4.901727676391601562e+00j), (1.354380011558532715e+00-3.878969907760620117e+00j), (1.668319344520568848e+00+5.487704277038574219e+00j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (4.900000000000000000e+02+0.000000000000000000e+00j), (3.046278143301606178e-03-7.744715549051761627e-03j), (8.520675823092460632e-03+3.579796059057116508e-03j), (-3.630890278145670891e-03+8.205121383070945740e-03j), (-6.157075520604848862e-03-1.054608263075351715e-03j), (2.931573544628918171e-04-1.113329548388719559e-02j), (2.284107729792594910e-02-1.249950286000967026e-02j), (5.457874014973640442e-02+2.077191881835460663e-02j), (4.178359732031822205e-02+1.456075161695480347e-01j), (-9.694258123636245728e-02+1.325419396162033081e-01j), (-3.565467000007629395e-01-2.538719214498996735e-02j), (-3.192656338214874268e-01-5.466138720512390137e-01j), (5.010327100753784180e-01-1.104020833969116211e+00j), (2.187310457229614258e+00-4.634824693202972412e-01j), (-9.796022772789001465e-01+3.238276481628417969e+00j), (-2.222528934478759766e+00+1.529993414878845215e+00j), (1.245434999465942383e+00-3.512670040130615234e+00j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (5.000000000000000000e+02+0.000000000000000000e+00j), (-1.521966934204101562e+00+1.532583713531494141e+00j), (1.725647330284118652e+00+3.842349350452423096e-01j), (2.326751470565795898e+00+1.504096686840057373e-01j), (1.059842348098754883e+00-5.169137716293334961e-01j), (3.957191407680511475e-01-7.876937389373779297e-01j), (-7.752475142478942871e-02-7.002452611923217773e-01j), (-3.447288870811462402e-01-4.543580412864685059e-01j), (-4.213155806064605713e-01-1.280379891395568848e-01j), (-3.224948048591613770e-01+1.184924989938735962e-01j), (-2.019188106060028076e-01+2.293644696474075317e-01j), (-6.467711925506591797e-02+2.305814325809478760e-01j), (8.811488002538681030e-02+1.450774818658828735e-01j), (2.086902707815170288e-01+2.697171084582805634e-02j), (6.130487471818923950e-02-1.862596422433853149e-01j), (-3.791240975260734558e-02-1.813756376504898071e-01j), (-1.961646825075149536e-01-3.406461328268051147e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (5.000000000000000000e+02+0.000000000000000000e+00j), (1.658501029014587402e+00+1.723174691200256348e+00j), (4.337268173694610596e-01-1.910450458526611328e+00j), (2.119978219270706177e-01-2.625069618225097656e+00j), (-5.443391799926757812e-01-1.218575477600097656e+00j), (-8.559849262237548828e-01-4.653178155422210693e-01j), (-7.767504453659057617e-01+8.407262712717056274e-02j), (-5.042731165885925293e-01+3.886221945285797119e-01j), (-9.674773365259170532e-02+4.451661109924316406e-01j), (9.435411542654037476e-02+3.284383416175842285e-01j), (2.538250386714935303e-01+2.413593679666519165e-01j), (2.567617893218994141e-01+6.539870798587799072e-02j), (1.616967320442199707e-01-9.404778480529785156e-02j), (3.662817552685737610e-02-2.362622767686843872e-01j), (-2.030902802944183350e-01-8.641213923692703247e-02j), (-2.234589308500289917e-01+6.684672087430953979e-02j), (-4.486080631613731384e-02+2.250065952539443970e-01j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (5.000000000000000000e+02+0.000000000000000000e+00j), (9.455580147914588451e-04-3.223125357180833817e-03j), (1.190556399524211884e-02+1.506416033953428268e-02j), (-1.523080398328602314e-03-6.889646756462752819e-04j), (-1.505985110998153687e-02-3.222346073016524315e-03j), (-7.811839692294597626e-03-9.536920115351676941e-03j), (1.102945487946271896e-02-1.579925231635570526e-02j), (3.689417988061904907e-02-2.446845406666398048e-03j), (2.392856590449810028e-02+8.828585594892501831e-02j), (-3.969015181064605713e-02+1.545711606740951538e-01j), (-2.681306302547454834e-01+5.351750180125236511e-02j), (-4.040377438068389893e-01-3.486582636833190918e-01j), (4.906107857823371887e-02-1.050897955894470215e+00j), (1.635052561759948730e+00-1.245456099510192871e+00j), (4.529857039451599121e-01+2.994779825210571289e+00j), (-1.266210436820983887e+00+1.972808003425598145e+00j), (-2.397236227989196777e-01-3.483947515487670898e+00j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (5.100000000000000000e+02+0.000000000000000000e+00j), (-3.396509289741516113e-01+2.876412391662597656e+00j), (1.902923107147216797e+00-9.472363591194152832e-01j), (2.398284673690795898e+00-1.740940332412719727e+00j), (7.490071654319763184e-01-1.371271491050720215e+00j), (-1.651916801929473877e-01-1.107820034027099609e+00j), (-5.766897797584533691e-01-6.418242454528808594e-01j), (-6.592081189155578613e-01-1.954936981201171875e-01j), (-4.502483010292053223e-01+1.554846316576004028e-01j), (-2.511736750602722168e-01+2.977893948554992676e-01j), (-4.673558846116065979e-02+3.396172821521759033e-01j), (9.062065184116363525e-02+2.401200085878372192e-01j), (1.778787225484848022e-01+6.484177708625793457e-02j), (2.189672142267227173e-01-1.136111915111541748e-01j), (-6.379678100347518921e-02-1.413917839527130127e-01j), (-1.860680431127548218e-01-1.157959327101707458e-01j), (-1.740588843822479248e-01+5.895031243562698364e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (2.500000000000000000e-01+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (2.951499938964843750e+02+0.000000000000000000e+00j), (5.100000000000000000e+02+0.000000000000000000e+00j), (1.451029658317565918e+00+1.856503009796142578e+00j), (5.314745903015136719e-01-1.625818014144897461e+00j), (3.627164363861083984e-01-2.413921833038330078e+00j), (-3.730691075325012207e-01-1.236015439033508301e+00j), (-7.305313348770141602e-01-5.504069924354553223e-01j), (-7.016080617904663086e-01-3.193296864628791809e-02j), (-4.907139539718627930e-01+2.709737122058868408e-01j), (-1.589149534702301025e-01+3.114275038242340088e-01j), (7.636910770088434219e-03+3.242534697055816650e-01j), (1.702301800251007080e-01+2.207239568233489990e-01j), (1.889612823724746704e-01+8.235001564025878906e-02j), (1.334268152713775635e-01-6.581518799066543579e-02j), (6.598765403032302856e-02-1.844246983528137207e-01j), (-1.142484545707702637e-01-2.565617673099040985e-02j), (-1.730816215276718140e-01+4.982024431228637695e-02j), (-6.488874554634094238e-02+1.268443763256072998e-01j), (1.000000000000000000e+00+0.000000000000000000e+00j)
