# Mach-Number Intake,Mach-Number Outlet,temperature Intake,temperature Outlet,f,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,case
 (1.723206639289855957e-01+0.000000000000000000e+00j), (5.655253678560256958e-02+0.000000000000000000e+00j), (2.999397277832031250e+02+0.000000000000000000e+00j), (3.540786437988281250e+02+0.000000000000000000e+00j), (3.500000000000000000e+02+0.000000000000000000e+00j), (-1.372045278549194336e-02-1.428574509918689728e-02j), (-1.457542367279529572e-02-9.662164375185966492e-03j), (8.169866167008876801e-03+1.833969727158546448e-02j), (2.890938147902488708e-02-2.034893445670604706e-02j), (2.638997137546539307e-02-6.865897215902805328e-03j), (-1.597315818071365356e-02+4.205351695418357849e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723206639289855957e-01+0.000000000000000000e+00j), (5.655253678560256958e-02+0.000000000000000000e+00j), (2.999397277832031250e+02+0.000000000000000000e+00j), (3.540786437988281250e+02+0.000000000000000000e+00j), (3.500000000000000000e+02+0.000000000000000000e+00j), (-1.735702343285083771e-02-1.419736444950103760e-02j), (-1.807519234716892242e-02-8.679101243615150452e-03j), (1.182773243635892868e-02+1.970207877457141876e-02j), (3.255907818675041199e-02-2.652414515614509583e-02j), (2.981727384030818939e-02-1.225235406309366226e-02j), (-1.438838429749011993e-02+4.920677095651626587e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.721176803112030029e-01+0.000000000000000000e+00j), (5.709867179393768311e-02+0.000000000000000000e+00j), (2.999154052734375000e+02+0.000000000000000000e+00j), (3.540505065917968750e+02+0.000000000000000000e+00j), (3.600000000000000000e+02+0.000000000000000000e+00j), (2.742895670235157013e-02+1.921881176531314850e-02j), (3.289580345153808594e-02+2.893962152302265167e-02j), (8.608601987361907959e-03+2.560716122388839722e-02j), (2.423725277185440063e-02+3.910277970135211945e-03j), (2.766485325992107391e-02+1.897481270134449005e-03j), (9.768784977495670319e-03-7.733112201094627380e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.721176803112030029e-01+0.000000000000000000e+00j), (5.709867179393768311e-02+0.000000000000000000e+00j), (2.999154052734375000e+02+0.000000000000000000e+00j), (3.540505065917968750e+02+0.000000000000000000e+00j), (3.600000000000000000e+02+0.000000000000000000e+00j), (-3.332902491092681885e-02-2.368422923609614372e-03j), (-4.312046617269515991e-02-7.669215556234121323e-03j), (-2.098592557013034821e-02-1.691481657326221466e-02j), (-2.246489189565181732e-02+9.762090630829334259e-03j), (-2.415311522781848907e-02+1.372616365551948547e-02j), (-4.101341590285301208e-03+1.174602191895246506e-02j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.721176803112030029e-01+0.000000000000000000e+00j), (5.709867179393768311e-02+0.000000000000000000e+00j), (2.999154052734375000e+02+0.000000000000000000e+00j), (3.540505065917968750e+02+0.000000000000000000e+00j), (3.600000000000000000e+02+0.000000000000000000e+00j), (-1.968347281217575073e-02-4.081169608980417252e-03j), (-1.893241889774799347e-02+3.075497807003557682e-04j), (1.494876109063625336e-02+8.243529126048088074e-03j), (1.639435812830924988e-02-2.125962451100349426e-02j), (1.673215255141258240e-02-4.890117794275283813e-03j), (-3.535559400916099548e-03+4.916495084762573242e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.721176803112030029e-01+0.000000000000000000e+00j), (5.709867179393768311e-02+0.000000000000000000e+00j), (2.999154052734375000e+02+0.000000000000000000e+00j), (3.540505065917968750e+02+0.000000000000000000e+00j), (3.600000000000000000e+02+0.000000000000000000e+00j), (-2.490947209298610687e-02-3.177624894306063652e-03j), (-2.318663522601127625e-02+2.265072893351316452e-03j), (1.935161091387271881e-02+8.557186461985111237e-03j), (1.854934729635715485e-02-2.641055546700954437e-02j), (2.107860893011093140e-02-8.439410477876663208e-03j), (8.308511460199952126e-04+5.802239850163459778e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723377406597137451e-01+0.000000000000000000e+00j), (5.690078064799308777e-02+0.000000000000000000e+00j), (2.999708557128906250e+02+0.000000000000000000e+00j), (3.540598754882812500e+02+0.000000000000000000e+00j), (3.700000000000000000e+02+0.000000000000000000e+00j), (4.753636941313743591e-02+9.422929957509040833e-03j), (5.723443254828453064e-02+1.416775584220886230e-02j), (9.149956516921520233e-03+1.573952101171016693e-02j), (2.409582212567329407e-02-1.346678473055362701e-02j), (2.490415796637535095e-02-2.062878385186195374e-02j), (3.216411685571074486e-03-1.705935224890708923e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723377406597137451e-01+0.000000000000000000e+00j), (5.690078064799308777e-02+0.000000000000000000e+00j), (2.999708557128906250e+02+0.000000000000000000e+00j), (3.540598754882812500e+02+0.000000000000000000e+00j), (3.700000000000000000e+02+0.000000000000000000e+00j), (-4.591781646013259888e-02+1.272309105843305588e-02j), (-5.653874203562736511e-02+1.251291297376155853e-02j), (-1.563867181539535522e-02-1.025204733014106750e-02j), (-1.595591381192207336e-02+2.270606532692909241e-02j), (-1.358020678162574768e-02+2.871808595955371857e-02j), (3.967894706875085831e-03+1.638199947774410248e-02j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723377406597137451e-01+0.000000000000000000e+00j), (5.690078064799308777e-02+0.000000000000000000e+00j), (2.999708557128906250e+02+0.000000000000000000e+00j), (3.540598754882812500e+02+0.000000000000000000e+00j), (3.700000000000000000e+02+0.000000000000000000e+00j), (-2.301925234496593475e-02+1.363166701048612595e-02j), (-1.940114982426166534e-02+1.779360510408878326e-02j), (1.870098523795604706e-02-3.609281731769442558e-03j), (1.305405795574188232e-02-1.647539809346199036e-02j), (2.093105018138885498e-02+1.581167802214622498e-03j), (1.599784195423126221e-02+5.506825819611549377e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723377406597137451e-01+0.000000000000000000e+00j), (5.690078064799308777e-02+0.000000000000000000e+00j), (2.999708557128906250e+02+0.000000000000000000e+00j), (3.540598754882812500e+02+0.000000000000000000e+00j), (3.700000000000000000e+02+0.000000000000000000e+00j), (-2.549373358488082886e-02+1.438542921096086502e-02j), (-2.139543555676937103e-02+1.934059895575046539e-02j), (2.064621262252330780e-02-3.633241401985287666e-03j), (1.330465730279684067e-02-1.853697560727596283e-02j), (2.250415086746215820e-02+1.236369280377402902e-04j), (2.245446108281612396e-02+6.189494580030441284e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
